Date,Bullish,Neutral,Bearish,Spread,Spread_MA20,SP500_Price_x,SP500_Price_y,SP500_Price
2000-01-06,75.0,11.66,13.33,61.67,,1403.449951171875,1403.449951171875,1403.449951171875
2000-01-13,59.260000000000005,22.22,18.52,40.74000000000001,,1449.6800537109375,1449.6800537109375,1449.6800537109375
2000-01-20,57.14,25.0,17.86,39.28,,1445.5699462890625,1445.5699462890625,1445.5699462890625
2000-01-27,53.7,25.93,20.37,33.330000000000005,,1398.56005859375,1398.56005859375,1398.56005859375
2000-02-03,51.11,24.44,24.44,26.67,,1424.969970703125,1424.969970703125,1424.969970703125
2000-02-10,41.86,30.23,27.91,13.95,,1416.8299560546875,1416.8299560546875,1416.8299560546875
2000-02-17,27.27,48.48,24.24,3.0299999999999976,,1388.260009765625,1388.260009765625,1388.260009765625
2000-02-24,41.38,27.59,31.03,10.35,,1353.4300537109375,1353.4300537109375,1353.4300537109375
2000-03-02,36.67,40.0,23.33,13.34,,1381.760009765625,1381.760009765625,1381.760009765625
2000-03-08,58.330000000000005,25.0,16.669999999999998,41.66000000000001,,1366.699951171875,1366.699951171875,1366.699951171875
2000-03-16,50.0,23.33,26.67,23.33,,1458.469970703125,1458.469970703125,1458.469970703125
2000-03-23,65.71000000000001,14.29,20.0,45.71000000000001,,1527.3499755859375,1527.3499755859375,1527.3499755859375
2000-03-30,38.89,11.11,50.0,-11.11,,1487.9200439453125,1487.9200439453125,1487.9200439453125
2000-04-06,45.83,33.33,20.83,25.0,,1501.3399658203125,1501.3399658203125,1501.3399658203125
2000-04-13,51.85,18.52,29.630000000000003,22.21999999999999,,1440.510009765625,1440.510009765625,1440.510009765625
2000-04-20,63.73,13.73,22.55,41.17999999999999,,1434.5400390625,1434.5400390625,1434.5400390625
2000-04-27,61.29,24.19,14.52,46.77,,1464.9200439453125,1464.9200439453125,1464.9200439453125
2000-05-04,34.78,30.43,34.78,0.0,,1409.5699462890625,1409.5699462890625,1409.5699462890625
2000-05-11,30.23,44.190000000000005,25.58,4.649999999999999,,1407.81005859375,1407.81005859375,1407.81005859375
2000-05-18,35.29,23.53,41.18,-5.890000000000001,23.794,1437.2099609375,1437.2099609375,1437.2099609375
2000-05-25,34.92,28.57,36.51,-1.5899999999999963,20.631,1381.52001953125,1381.52001953125,1381.52001953125
2000-06-01,41.67,20.83,37.5,4.170000000000002,18.802500000000002,1448.81005859375,1448.81005859375,1448.81005859375
2000-06-08,61.53999999999999,15.38,23.08,38.46,18.7615,1461.6700439453125,1461.6700439453125,1461.6700439453125
2000-06-15,43.75,37.5,18.75,25.0,18.345,1478.72998046875,1478.72998046875,1478.72998046875
2000-06-22,26.67,33.33,40.0,-13.330000000000002,16.345000000000002,1452.1800537109375,1452.1800537109375,1452.1800537109375
2000-07-06,56.10000000000001,28.050000000000004,15.85,40.25000000000001,17.66,1456.6700439453125,1456.6700439453125,1456.6700439453125
2000-07-13,65.0,15.0,20.0,45.0,19.7585,1495.8399658203125,1495.8399658203125,1495.8399658203125
2000-07-20,66.67,21.33,12.0,54.67,21.9745,1495.5699462890625,1495.5699462890625,1495.5699462890625
2000-07-27,42.86,37.14,20.0,22.86,22.450499999999998,1449.6199951171875,1449.6199951171875,1449.6199951171875
2000-08-03,41.3,34.78,23.91,17.389999999999997,21.237000000000002,1452.56005859375,1452.56005859375,1452.56005859375
2000-08-10,54.1,34.43,11.48,42.620000000000005,22.201500000000003,1460.25,1460.25,1460.25
2000-08-17,59.38,21.88,18.75,40.63,21.9475,1496.0699462890625,1496.0699462890625,1496.0699462890625
2000-08-23,57.69,19.23,23.08,34.61,24.2335,1505.969970703125,1505.969970703125,1505.969970703125
2000-08-31,55.88,26.47,17.65,38.23,24.895,1517.6800537109375,1517.6800537109375,1517.6800537109375
2000-09-07,62.5,29.17,8.33,54.17,26.4925,1502.510009765625,1502.510009765625,1502.510009765625
2000-09-14,41.18,35.29,23.53,17.65,25.316,1480.8699951171875,1480.8699951171875,1480.8699951171875
2000-09-21,43.75,37.5,18.75,25.0,24.2275,1449.050048828125,1449.050048828125,1449.050048828125
2000-09-28,53.33,40.0,6.67,46.66,26.5605,1458.2900390625,1458.2900390625,1458.2900390625
2000-10-05,41.94,32.26,25.81,16.13,27.134500000000003,1436.280029296875,1436.280029296875,1436.280029296875
2000-10-12,41.46,26.83,31.71,9.75,27.916500000000003,1329.780029296875,1329.780029296875,1329.780029296875
2000-10-19,48.89,26.67,24.44,24.45,29.218500000000006,1388.760009765625,1388.760009765625,1388.760009765625
2000-10-26,64.1,17.95,17.95,46.14999999999999,31.317500000000003,1364.43994140625,1364.43994140625,1364.43994140625
2000-11-02,51.61,25.81,22.58,29.03,30.845999999999997,1428.3199462890625,1428.3199462890625,1428.3199462890625
2000-11-09,62.86000000000001,28.57,8.57,54.290000000000006,32.3105,1400.1400146484375,1400.1400146484375,1400.1400146484375
2000-11-16,45.83,37.5,16.669999999999998,29.16,34.435,1372.3199462890625,1372.3199462890625,1372.3199462890625
2000-11-23,36.51,26.98,36.51,0.0,32.4225,1322.3599853515625,1322.3599853515625,1322.3599853515625
2000-11-30,60.42,22.92,16.669999999999998,43.75,32.36,1314.949951171875,1314.949951171875,1314.949951171875
2000-12-07,47.06,15.69,37.25,9.810000000000002,30.117,1343.550048828125,1343.550048828125,1343.550048828125
2000-12-14,59.62,7.689999999999999,32.690000000000005,26.93,30.320500000000003,1340.9300537109375,1340.9300537109375,1340.9300537109375
2000-12-21,31.11,17.78,51.11,-20.0,28.451000000000004,1274.8599853515625,1274.8599853515625,1274.8599853515625
2000-12-28,40.0,28.000000000000004,32.0,8.0,26.720000000000006,1334.219970703125,1334.219970703125,1334.219970703125
2001-01-04,42.59,33.33,24.07,18.520000000000003,25.6145,1333.3399658203125,1333.3399658203125,1333.3399658203125
2001-01-11,35.709999999999994,21.43,42.86,-7.150000000000006,23.5265,1326.8199462890625,1326.8199462890625,1326.8199462890625
2001-01-18,36.59,39.02,24.39,12.200000000000005,22.225,1347.969970703125,1347.969970703125,1347.969970703125
2001-01-25,49.23,24.62,26.15,23.08,20.670499999999997,1357.510009765625,1357.510009765625,1357.510009765625
2001-02-01,50.0,30.77,19.23,30.77,21.326500000000003,1373.469970703125,1373.469970703125,1373.469970703125
2001-02-08,55.56,30.0,14.44,41.12,22.1325,1332.530029296875,1332.530029296875,1332.530029296875
2001-02-15,30.43,47.83,21.74,8.689999999999998,20.234,1326.6099853515625,1326.6099853515625,1326.6099853515625
2001-02-22,26.32,35.09,38.6,-12.28,18.813499999999998,1252.8199462890625,1252.8199462890625,1252.8199462890625
2001-03-01,45.95,20.27,33.78,12.170000000000002,18.9345,1241.22998046875,1241.22998046875,1241.22998046875
2001-03-08,31.630000000000003,36.73,31.630000000000003,0.0,17.712,1264.739990234375,1264.739990234375,1264.739990234375
2001-03-15,30.91,32.73,36.36,-5.449999999999999,15.132000000000001,1173.56005859375,1173.56005859375,1173.56005859375
2001-03-22,27.78,25.0,47.22,-19.44,12.7085,1117.5799560546875,1117.5799560546875,1117.5799560546875
2001-03-29,37.25,35.29,27.450000000000003,9.799999999999995,10.484,1147.949951171875,1147.949951171875,1147.949951171875
2001-04-05,35.14,26.13,38.74,-3.6000000000000014,8.846,1151.43994140625,1151.43994140625,1151.43994140625
2001-04-12,30.3,28.79,40.91,-10.610000000000005,8.3155,1183.5,1183.5,1183.5
2001-04-19,43.75,25.0,31.25,12.5,6.753,1253.68994140625,1253.68994140625,1253.68994140625
2001-04-26,46.55,22.41,31.03,15.520000000000003,7.038499999999999,1234.52001953125,1234.52001953125,1234.52001953125
2001-05-03,63.51,14.87,21.62,41.89,7.786499999999999,1248.5799560546875,1248.5799560546875,1248.5799560546875
2001-05-10,53.33,28.89,17.78,35.55,10.563999999999998,1255.1800537109375,1255.1800537109375,1255.1800537109375
2001-05-17,51.76,29.41,18.82,32.94,11.810999999999998,1288.489990234375,1288.489990234375,1288.489990234375
2001-05-24,61.9,21.43,16.669999999999998,45.23,13.1465,1293.1700439453125,1293.1700439453125,1293.1700439453125
2001-05-31,49.35,22.08,28.57,20.78,14.542999999999997,1255.8199462890625,1255.8199462890625,1255.8199462890625
2001-06-07,42.55,31.91,25.53,17.019999999999996,14.783999999999997,1276.9599609375,1276.9599609375,1276.9599609375
2001-06-14,30.51,47.46,22.03,8.479999999999997,14.053999999999998,1219.8699951171875,1219.8699951171875,1219.8699951171875
2001-06-21,33.33,43.33,23.33,9.999999999999996,13.0155,1237.0400390625,1237.0400390625,1237.0400390625
